Protein	q_value	Difference
PIGT	0.014435518	-0.518511613
PIK3C2A	0.0094081	-1.054280122
PKP4	0.014655602	-0.404870351
PLCD3	0.987424574	-0.007229646
PLEKHA7	0.435801536	-0.336215973
PLEKHG3	0.970970419	-0.019515514
PNKD	0.050921251	-0.341959794
PNKP	0	-1.592696985
PNO1	0.008882353	-0.735814889
PNPLA6	0.016619926	-0.494691213
POLR1A	0.011581769	-1.19398133
POLR1B	0.020570447	-1.697510242
POLR1C	0.103262169	-1.160730521
POLR1E	0.028859175	-1.931843122
POLR2A	0.189754173	-0.309961796
POLR2B	0.256945908	-0.19917504
POLR2C	0.192003023	0.33089304
POLR2E	0.790172599	-0.111096541
POLR2H	0.030644537	-0.537977378
POLRMT	0.011644205	-0.797444344
POP1	0.186927647	-0.251830101
POP4	0.526246206	-0.500061035
POTEE	0.456541233	-0.4578965
PPAN	0.575047103	-0.156704585
PPFIA1	0.433673373	-0.268012524
PPFIBP1	0.844786453	-0.064234416
PPHLN1	0.291235567	-0.385528247
PPIL3	0.635049816	-0.384686788
PPP1CC	0.048858708	0.480689049
PPP1R10	0.084729901	-0.402778308
PPP1R12A	0.032790514	-0.424723943
PPP1R12B	0.798965617	-0.070610682
PPP1R12C	0.076333959	-1.052124977
PPP1R18	0.068358674	-1.42199405
PPP1R9A	0.463993027	0.445538362
PPP2CA	0.047504425	0.934346199
PPP2R5C	0.081094582	-0.798864683
PPP3CC	0.222360087	-0.126331806
PPP6R3	0.303622543	0.203195254
PQBP1	0.028818182	-1.124210517
PRDX5	0.220459302	-0.662898382
PREB	0.124930921	-0.607529322
PREX1	0.617544157	-0.251581987
PRKACA	0.009179331	-0.472771804
PRKAR2A	0.215044248	-0.405039152
PRMT1	0.303238845	-0.267798106
PRMT5	0.076157895	-0.301148574
PRPF31	0.038052045	-0.60253334
PRPF38A	0.041285884	-0.386958122
PRPF38B	0.004741722	-1.720615864
PRR11	0.88696488	-0.036299706
PRR12	0.797085271	-0.059937477
PRRC2A	0.207178491	-0.299302101
PRSS8	0.028545977	-0.467700481
PSMC1	0.965534368	-0.033907096
PSPC1	0.04489711	-0.611821175
PTCD1	0.041163462	-0.593602816
PTCD3	0.190813918	0.450978915
PTDSS1	0.292688742	-0.108900388
PTPN13	0.239960284	-0.285284201
PTRH1	0.750946108	-0.124032815
PTRH2	0.914324864	-0.034022331
PUM2	0.078529851	-0.293893178
PUM3	0.054651163	-0.568815231
PURA	0.004235294	-1.981209914
PWP1	0.369349039	0.183519363
PWP2	0.0473134	-0.565531254
PWWP2A	0.029883008	-0.832549254
PXDN	0.02361165	-0.979659716
QPCTL	0.108524091	0.615760803
RAB10	0.008165289	-0.694988569
RAB11A	0.037326683	-1.106840611
RAB11FIP1	0.278439024	-0.348888238
RAB1B	0.006894009	-0.914141178
RAB6B	0.009096386	-0.604003429
RABL3	0.571260065	-0.192320983
RAC1	0.013986456	-0.856132189
RACK1	0.046323896	-1.153808912
RAD21	0.66969017	-0.102289041
RAD23B	0.047311876	-0.743602753
RAI14	0.802151764	-0.110589504
RALGAPB	0.513375566	-0.435897191
RANBP2	0.044845266	-0.39718469
RAP1A	0.004838323	-1.604936123
RAP2B	0.009496855	-1.281211217
RAP2C	0.0140181	-0.499723593
RARS	0.971398854	0.02369531
RBBP5	0.019525664	-0.472963651
RBBP6	0.558848053	-0.110458374
RBBP7	0.039975758	-0.701816082
RBFA	0.017985663	-0.742733161
RBM15B	0.821368371	-0.087107023
RBM19	0.01417849	-1.500706037
RBM22	0.449722645	0.152507782
RBM23	0.221170167	-0.296596527
RBM26	0.012104265	-0.597498099
RBM27	0.753934459	-0.083866119
RBM3	0.003710145	-2.366809368
RBM33	0.894413603	-0.020270507
RBM42	0.004129032	-1.214818001
RBM4B	0.970626102	-0.012441158
RBM5	0.453603741	0.167956988
RBM6	0.0390306	-1.0417943
RBM7	0.095596171	-0.438164711
RBM8A	0.351333333	-0.153253078
RBMS1	0.003657143	-0.820934931
RBMX2	0.617274841	0.209568501
RCC2	0.009295374	-1.700447083
RCE1	0.192873112	-0.436620712
RCL1	0.049670282	-0.479918957
RDH13	0.145615873	-0.24616909
RECQL5	0.024220472	-0.880062739
REEP4	0.700785351	-0.14627854
RELA	0.759724752	0.266214053
REPIN1	0.70066972	0.219596704
REPS1	0.012320413	-1.328637918
REXO4	0.575599784	-0.229112625
RFC2	0.02825183	-0.406354268
RFC5	0.11668954	-0.5867788
RFTN1	0.43501182	-0.35220925
RGPD3	0.615440678	-0.391314665
RHBDD2	0.00580791	-0.544023514
RHOA	0.031606557	-0.843872229
RICTOR	0.668968074	0.184943676
RIF1	0.386513231	0.226356506
RIOX2	0.433839381	-0.499667803
RNF169	0.710255061	0.255193075
RNF2	0.552466041	-0.201926549
RNGTT	0.04114491	0.45431153
RPF2	0.693687436	0.077274958
RPL10	0.773460818	0.117338816
RPL32	0.082441417	0.478503227
RPL35A	0.320173239	0.200456937
RPL36	0.011458886	0.870597204
RPL36AL	0.431440143	-0.13590018
RPL37A	0.3278127	0.312672615
RPL38	0.344124051	-0.172152201
RPL39P5	0.035212198	0.55039835
RPL7L1	0.080414431	-0.348291397
RPP30	0.348322825	-0.1262544
RPP40	0.067582677	-0.463105996
RPS15	0.745349373	0.074079831
RPS15A	0.939409275	-0.018494606
RPS17	0.733861027	0.089640617
RPS21	0.391872549	-0.493432204
RPS26	0.764162216	-0.051860174
RPS27L	0.220302545	-0.330715656
RPS28	0.095857639	-0.474379222
RPS29	0.065958292	0.720726331
RPSA	0.0157603	-0.943518957
RRAS	0.013561201	-0.981609186
RRP1	0.029930652	-0.500629107
RRP12	0.094798599	-0.281541189
RRP15	0.223789777	-0.244041284
RRP1B	0.386751232	-0.203241666
RRP7A	0.902091491	-0.036105474
RRP8	0.448323564	-0.22927777
RRS1	0.89067035	0.024535815
RSBN1	0.023633441	-0.775859356
RSBN1L	0.003683453	-1.533385118
RSRC1	0.031434842	0.387294928
RSRC2	0.357484072	0.296838125
RTCB	0.955720555	-0.01645724
RTRAF	0.553540839	0.159286499
S100A10	0.045938286	-1.120822906
SAMD1	0.14206051	-0.697010358
SAMD4B	0.015619772	-0.601747036
SAP30BP	0.023949045	-0.474869092
SART3	0.014297872	-1.262682756
SCAF1	0.08199454	-0.335411867
SCAF11	0.329682458	-0.32566309
SCAF4	0.055933194	-0.430078189
SCAF8	0.02040208	-0.626234849
SCD	0.989255347	0.011640231
SCML2	0.012416667	-1.296276093
SCOC	0.211132244	-0.698356628
SDAD1	0.842939237	-0.050675074
SDC1	0.022907895	0.434346199
SEC13	0.838806619	-0.078550975
SEC24B	0.059462564	-0.884200732
SEC63	0.020285217	-0.823950768
SEL1L	0.008586466	-0.843764623
SEMA3C	0.094336842	-0.443114916
SENP3	0.455659277	0.222139041
SEPT11	0.145252698	-0.655488
SERBP1	0.030008392	-1.15428098
SERPINH1	0.278626947	-0.488891919
SET	0.315083712	-0.541037877
SETD2	0.896499312	0.068083286
SETD5	0.275369137	0.531755606
SETX	0.242134276	-0.418455124
SF3A2	0.335857325	0.289549033
SFSWAP	0.124629843	-0.250515938
SGF29	0.759296682	0.163035552
SGPL1	0.144922099	-0.636627674
SHANK2	0.076445283	-0.342139244
SHKBP1	0.008934911	-0.802208742
SHROOM3	0.01474739	-0.584906737
SIN3B	0.022739635	-0.558169683
SIPA1L1	0.618556788	0.183886051
SIPA1L3	0.009631579	-0.78515323
SIRT7	0.941916329	-0.040374597
SIX4	0.134158065	-0.552543163
SKP1	0.926904654	0.045678298
SLC12A2	0.245449929	-0.318808873
SLC25A1	0.027654762	-1.076568127
SLC25A10	0.02996648	-0.697509289
SLC25A11	0.051347639	-0.590082328
SLC25A13	0.00416	-1.590056896
SLC25A24	0.02025	-1.021360874
SLC25A3	0.683152386	-0.197789351
SLC25A40	0.811856046	-0.055347443
SLC2A1	0.022853333	-1.190445423
SLC30A6	0.027355422	-0.483214219
SLC30A7	0.958169643	-0.044740836
SLC35E1	0.330182981	0.227886359
SLC35F6	0.28606012	-0.322423458
SLC39A11	0.248946629	-0.240121206
SLC3A2	0.005165829	-0.688855171
SLC4A1AP	0.015253438	-0.789402644
SLC5A6	0.027964654	-0.682780107
SLC7A5	0.155955871	-0.458613714
SLC9A1	0.114562552	-0.236104965
SLC9A3R2	0.01362413	-1.143253009
SMARCA2	0.011612903	-0.789890925
SMARCE1	0.028383721	-1.038875421
SMC4	0.948280323	0.034071445
SMG6	0.233991416	-0.539184888
SMU1	0.118123539	-0.547239463
SNAP23	0.531370661	0.232573509
SND1	0.014468271	-1.839207013
SNIP1	0.216487877	-0.294032574
SNRPE	0.248441632	0.136588256
SNRPG	0.963276123	-0.015909195
SNTB2	0.231002151	-0.535846233
SON	0.882578972	0.037853718
SP3	0.405985384	0.320227146
SPATA5	0.283233871	-0.213310242
SPATS2	0.808412133	-0.083785693
SPATS2L	0.806087711	0.073825836
SPECC1	0.315288312	0.155321916
SPECC1L	0.046434978	0.716864745
SPEN	0.94962943	0.025052071
SPIRE1	0.558063666	-0.281905174
SPRR2A	0.891734929	-0.062255541
SPTY2D1	0.754490079	0.077274958
SQOR	0.360032399	0.288180828
SQSTM1	0.402563415	0.191314697
SRBD1	0.012156098	-1.132116159
SREK1	0.022472362	-1.267020067
SRFBP1	0.150726841	-0.817876498
SRGAP2	0.005775281	-0.936491648
SRP19	0.003857143	-1.764083862
SRP54	0.004447205	-1.439198812
SRP68	0	-1.268947601
SRP72	0.008372881	-1.094491959
SRPK1	0.033912371	-0.791790326
SRPK2	0.022434783	-0.523159981
SRPRA	0	-1.864097118
SRRT	0.0108	-1.21767966
SRSF10	0.043035129	-0.443238258
SRSF2	0.019491166	-1.686762969
SSFA2	0.740034154	-0.069215775
SSR1	0.031307692	-0.736539841
SSR3	0.955216107	0.029869239
SSRP1	0.005679558	-1.204655965
SSSCA1	0.039893204	0.570571264
STAG2	0.012185819	-0.408133507
STAT1	0.752181365	0.039133549
STAU2	0.128065306	-0.19594717
STIP1	0.136231325	-0.396962484
STOM	0.014358974	-1.045494397
STRIP1	0.003792593	-1.355902672
STRN3	0.003878788	-1.271343072
STRN4	0.008859259	-0.928888162
STT3B	0.015679389	-0.615577062
STX16	0.134979887	-0.444955667
STX6	0.196818045	-0.5752484
SUMO1	0.532147651	0.306842327
SUMO4	0.530484848	0.192560196
SUN2	0.749803098	-0.163546244
SUPT20H	0.474184544	-0.246252378
SUPT3H	0.056208117	-0.194534143
SUPT6H	0.014373913	-0.921446482
SUPT7L	0.50925779	-0.25133721
SURF6	0.509678369	0.218934854
SYNE1	0	-1.752478758
TACSTD2	0.261833677	-0.595536709
TADA2B	0.027552239	-0.375657082
TADA3	0.23382416	-0.381561756
TAF10	0.072692015	-0.39949735
TAF15	0.252008386	0.34597826
TAF1C	0.99693165	0.001512369
TAF1L	0.986363955	-0.011104266
TAF4	0.036766917	-0.755950451
TAF5	0.004365854	-1.168191274
TAF5L	0.211982196	-0.398284435
TAF6	0.01544186	-0.78284661
TAF6L	0.194771321	-0.292880376
TAF9	0.069311412	-0.555860678
TAOK2	0.22053701	-0.596341769
TAPBP	0.234606709	-0.804685116
TARBP2	0.114492851	-0.599589666
TBC1D10A	0.008131687	-1.494510015
TBC1D30	0.448243702	0.200600942
TBL1XR1	0.530771989	0.111820221
TBL2	0.012126521	-0.562279065
TBL3	0.028505022	-0.454648018
TCERG1	0.687127049	0.081651052
TDRD3	0.035858048	-0.58388106
TDRKH	0.602480256	0.317680041
TEFM	0.009568627	-0.897338231
TENT4B	0.078645581	-0.243014812
TERF2IP	0.081080882	-0.691271623
TEX10	0.851173321	-0.031449
TFAM	0.983605436	-0.011614323
TFAP2C	0.420055123	-0.32022508
TFAP2D	0.033308901	-0.493391037
TFB1M	0.028627675	-0.966920535
TFIP11	0.218935673	-0.45416069
TFPT	0.138607859	-0.704138438
THAP12	0.03835468	-0.782693227
THEM6	0.0951777	0.640930971
THOC3	0.020296552	-0.883506934
TIAL1	0.059190965	-0.53635327
TLN1	0.029841446	-0.864819368
TM9SF3	0.636473795	-0.150486151
TMA16	0.04690301	-0.871980508
TMCO1	0.06069176	-0.595093727
TMED10	0.581943905	0.200353781
TMED2	0.221626628	0.349495888
TMED7	0.028866856	-0.679144382
TMED9	0.093389771	-0.530313015
TMEM120A	0.659193782	-0.255448023
TMEM161A	0.002734177	-0.561849117
TMEM266	0.035256997	-0.407106717
TMEM50A	0.027232384	-0.41259861
TMF1	0.769509136	0.122709274
TNRC6A	0.050038877	-0.206807454
TOE1	0.467886771	-0.127134641
TOLLIP	0.11834414	-0.673589389
TOM1	0.022777409	-0.824290752
TOMM40	0.012760563	-1.953543822
TOMM70	0.004118812	-0.970537663
TP53I11	0.06301712	-0.547395547
TPM1	0.613537155	0.191940943
TPM3	0.33859377	0.37485075
TPP1	0.026357252	-0.285881519
TPX2	0.049217012	-0.456287702
TRAM1	0.033321053	-0.818648497
TRIM25	0.009617729	-0.996041457
TRIM27	0.406407295	-0.300935109
TRIM32	0.104664395	-0.335444927
TRIM33	0.692822086	-0.150162856
TRIM56	0.028309038	-0.49096934
TRIOBP	0.028293255	-0.485237757
TRIP4	0.081470803	-0.5594697
TRIP6	0.005711111	-0.593795458
TRMT10C	0.024006339	-0.490447998
TRMT1L	0.004727273	-1.571807702
TRPM4	0.004473118	-1.26368014
TRPS1	0.941627363	-0.016757011
TRRAP	0.130720648	-0.225200335
TSPYL1	0.824928946	-0.093607585
TSR1	0.495080092	-0.231466293
TTC37	0.005908046	-1.705700556
TTF1	0.433581451	-0.33835729
TUBA1B	0.718102926	-0.091129939
TUBA1C	0.555557512	-0.132554054
TUBB6	0.354925	0.435688337
TUBB8	0.041542453	0.521634261
TUFM	0.790470876	-0.148534934
TWF1	0.016403738	-1.124824047
TXN	0.095235602	-0.382354259
UACA	0.019612676	-0.621537368
UBN2	0.77600197	-0.093090534
UBP1	0.014954733	-0.7968448
UBQLN1	0.457832363	-0.234575907
UBXN4	0.089366816	-0.503129323
UFL1	0.078499069	-0.488840421
UIMC1	0.220119534	-0.272026698
UNC45A	0.101796407	-0.406544367
UNC93B1	0.015223529	-0.403504848
UNK	0.049724213	-0.598515511
UQCRC2	0.003176471	-1.75961113
UQCRFS1	0.012225641	-1.187625249
URB1	0.613776127	-0.100373904
URB2	0.979191919	0.009726524
USMG5	0.246446165	-0.493174235
USP10	0.055635602	-0.826535702
USP6NL	0.068199024	-0.913749377
USP7	0.009362007	-1.065335433
UTP14A	0.321263701	0.306253751
UTP15	0.053462274	-0.416476727
UTP20	0.315111111	-0.362701893
UTP23	0.97058315	0.011669954
UTP3	0.402516168	-0.210453669
UTP4	0.060943089	-0.258024057
VANGL1	0.414933011	-0.286736965
VAPA	0.033352556	-0.843523661
VDAC2	0.020331606	-1.24562645
VEZF1	0.022805281	-0.72962141
VIRMA	0.009207317	-0.921970208
VKORC1	0.65291239	-0.121846994
VMP1	0.66857084	-0.319791953
VPS45	0.012067797	-0.76427269
VPS72	0.552426519	-0.162458102
VRK2	0.903074954	-0.050290902
WDR11	0.015621622	-1.533508142
WDR12	0.284201207	-0.217640241
WDR3	0.025639445	-0.480627219
WDR36	0.047863286	-0.524967511
WDR43	0.038887805	-0.497926235
WDR55	0.963355526	0.018152078
WDR61	0.031096419	-1.311026255
WDR75	0.051237687	-0.332098961
WDR77	0.03372093	-0.765566667
WDR82	0.070219231	-0.35795482
WDR89	0.720094806	-0.094642003
WHAMM	0.602163026	0.318371773
WIZ	0.779667159	-0.067180634
WRAP53	0.007904	-0.540782452
XAB2	0.183810107	-0.493072828
XPC	0.014660754	-1.065937996
XRCC1	0.051292605	-0.986866156
XRN1	0.01671243	-0.49130106
YES1	0.028628242	-0.451954842
YME1L1	0.285066309	-0.658701261
YTHDC1	0.328312821	-0.463678996
YTHDC2	0.06320402	-1.028070927
YWHAE	0.392578077	-0.370026588
YWHAG	0.056224066	-0.512227217
ZBTB11	0.416609272	-0.270008564
ZBTB7A	0.215287712	-0.416410287
ZBTB7B	0.036881101	-0.867292722
ZC3H11A	0.303055884	-0.284116586
ZC3H14	0.053404255	-0.481737137
ZC3H15	0.005268293	-2.317175547
ZC3H7A	0.014540881	-0.587665876
ZC3H7B	0.0155625	-1.073712508
ZC3HAV1	0.00784127	-0.617619832
ZCCHC8	0.175839753	-0.268070539
ZCCHC9	0.046166667	-0.47208182
ZFC3H1	0.005450292	-0.667658488
ZFHX3	0.535362674	0.431810538
ZFP36L2	0.866944418	-0.030944029
ZFP91	0.415971049	-0.439540227
ZGPAT	0.442199175	-0.251499653
ZHX2	0.523652958	-0.178397973
ZKSCAN1	0.471873053	-0.365807692
ZMYM2	0.169891304	-0.191712697
ZMYM3	0.802875905	-0.168358485
ZMYM4	0.970778612	-0.015415192
ZMYND8	0.198904726	-0.380990982
ZNF146	0.210975501	-0.414452394
ZNF207	0.016650647	-1.486042658
ZNF217	0.031520436	-0.340347131
ZNF24	0.60809782	-0.15425539
ZNF281	0.433622262	-0.13263464
ZNF326	0.753793241	0.129232248
ZNF385A	0.015248485	-0.484782855
ZNF48	0.040358354	-1.021044572
ZNF574	0.840853233	-0.093690077
ZNF579	0.217605282	0.660353025
ZNF592	0.662816116	-0.28660965
ZNF593	0.89102583	-0.067095121
ZNF598	0.015115619	-0.854352792
ZNF622	0.0096	-0.949435234
ZNF652	0.028669553	-0.679739952
ZNF687	0.282724092	-0.321123759
ZNF768	0.011894988	-0.568909804
ZNF787	0.01239801	-1.109472911
ZRANB2	0.822863962	-0.067934513
